Eye_Index time X_Displacement Y_Displacement
0 13.93 -61.00 -70.50
1 13.93 -131.50 -65.50
0 13.98 -128.00 -66.00
1 13.98 -58.50 -71.50
0 14.03 -61.00 -72.50
1 14.03 -127.50 -62.50
0 14.07 -56.50 -68.50
1 14.07 -126.00 -61.50
0 14.10 -126.50 -61.50
1 14.10 -56.00 -67.00
0 14.14 -61.00 -69.50
1 14.14 -128.79 -63.45
0 14.18 -126.25 -61.50
1 14.18 -56.00 -69.00
0 14.23 -127.00 -66.58
1 14.23 -59.00 -72.00
0 14.28 -125.00 -63.00
1 14.28 -55.00 -68.00
0 14.31 -123.81 -63.19
1 14.31 -55.60 -67.92
0 14.35 -126.24 -62.54
1 14.35 -53.50 -68.00
0 14.41 -60.10 -74.50
1 14.41 -129.50 -67.50
0 14.45 -128.00 -63.58
1 14.45 -56.00 -71.00
0 14.50 -56.00 -72.00
1 14.50 -127.00 -67.00
0 14.55 -56.00 -74.00
1 14.55 -128.00 -66.58
0 14.59 -56.50 -73.50
1 14.59 -125.50 -68.00
0 14.64 -54.00 -74.00
1 14.64 -125.14 -67.18
0 14.69 -56.50 -73.00
1 14.69 -127.00 -67.50
0 14.73 -57.50 -75.00
1 14.73 -128.77 -68.69
0 14.78 -55.50 -74.00
1 14.78 -125.89 -68.33
0 14.82 -131.50 -68.93
1 14.82 -61.00 -75.00
0 14.87 -55.00 -72.00
1 14.87 -125.91 -65.88
0 14.92 -125.57 -65.43
1 14.92 -54.50 -72.00
0 14.96 -121.75 -62.38
1 14.96 -50.50 -69.00
0 15.01 -55.50 -73.50
1 15.01 -128.73 -67.27
0 15.06 -56.50 -76.50
1 15.06 -128.36 -71.00
0 15.10 -52.50 -72.67
1 15.10 -124.90 -67.30
0 15.15 -53.00 -72.00
1 15.15 -124.50 -65.25
0 15.20 -122.50 -65.50
1 15.20 -51.50 -72.00
0 15.24 -57.00 -76.00
1 15.24 -128.50 -71.00
0 15.29 -125.81 -66.19
1 15.29 -53.50 -71.00
0 15.34 -54.50 -73.00
1 15.34 -127.00 -68.42
0 15.38 -130.00 -71.00
1 15.38 -57.50 -78.50
0 15.43 -51.00 -68.00
1 15.43 -124.00 -63.42
0 15.47 -123.75 -61.50
1 15.47 -52.28 -67.28
0 15.52 -124.00 -63.00
1 15.52 -52.90 -68.50
0 15.57 -55.00 -75.50
1 15.57 -123.66 -68.95
0 15.62 -129.91 -68.88
1 15.62 -57.56 -74.34
0 15.66 -124.92 -63.57
1 15.66 -53.50 -69.67
0 15.71 -128.07 -69.50
1 15.71 -57.50 -74.67
0 15.76 -124.00 -65.42
1 15.76 -53.50 -73.00
0 15.81 -122.00 -62.50
1 15.81 -53.00 -71.00
0 15.86 -125.00 -62.50
1 15.86 -53.00 -71.00
0 15.90 -121.05 -62.34
1 15.90 -50.12 -68.40
0 15.95 -128.23 -67.55
1 15.95 -55.50 -75.00
0 16.00 -126.08 -65.57
1 16.00 -53.50 -72.50
0 16.04 -124.00 -63.00
1 16.04 -54.00 -70.00
0 16.09 -125.00 -66.50
1 16.09 -56.00 -73.00
0 16.14 -127.88 -66.88
1 16.14 -55.50 -73.67
0 16.18 -131.50 -71.25
1 16.18 -64.00 -78.50
0 16.22 -123.21 -62.21
0 24.09 -122.50 -62.00
0 24.18 -122.50 -61.00
0 24.28 -124.00 -64.50
0 24.32 -124.00 -65.50
0 24.35 -123.50 -63.00
1 24.40 -49.50 -66.00
0 24.45 -121.50 -64.00
0 24.50 -124.50 -63.00
0 24.53 -122.00 -62.00
0 24.57 -121.00 -62.00
0 24.61 -119.50 -62.00
0 24.66 -119.00 -64.00
0 24.70 -121.00 -62.50
0 24.73 -119.00 -57.00
0 24.77 -119.00 -58.50
1 24.77 -50.00 -65.00
0 24.83 -127.00 -66.50
1 24.83 -55.00 -73.00
0 24.87 -123.00 -67.50
1 24.87 -55.00 -73.00
0 24.90 -124.00 -63.00
1 24.90 -53.00 -69.00
0 24.95 -127.00 -65.00
1 24.95 -55.50 -69.50
0 24.99 -50.00 -64.50
1 24.99 -121.00 -59.00
0 25.04 -53.50 -64.50
1 25.04 -127.00 -59.42
0 25.09 -127.50 -67.00
1 25.09 -59.50 -75.50
0 25.13 -121.82 -61.45
1 25.13 -54.72 -65.72
0 25.17 -54.50 -69.50
1 25.17 -123.00 -62.50
0 25.22 -121.50 -63.50
1 25.22 -54.00 -71.50
0 25.26 -122.58 -64.00
1 25.26 -54.50 -70.50
0 25.31 -124.00 -63.50
1 25.31 -51.50 -67.50
0 25.36 -125.50 -68.50
1 25.36 -56.50 -73.00
0 25.40 -56.00 -72.00
1 25.40 -124.93 -65.00
0 25.45 -123.58 -69.00
1 25.45 -56.50 -73.50
0 25.50 -122.86 -66.24
1 25.50 -53.50 -72.00
0 25.54 -121.93 -66.50
1 25.54 -52.50 -70.50
0 25.59 -126.24 -67.14
1 25.59 -54.50 -73.00
0 25.64 -124.00 -66.00
1 25.64 -55.00 -70.00
0 25.68 -125.50 -69.00
1 25.68 -56.00 -75.50
1 25.72 -126.50 -68.50
1 25.76 -127.50 -67.00
1 25.80 -123.50 -65.50
1 25.84 -129.00 -68.00
0 25.88 -125.00 -64.00
1 32.87 -119.00 -63.00
1 32.92 -119.00 -62.00
0 32.96 -122.50 -61.50
1 32.96 -52.00 -69.00
0 33.01 -119.50 -62.50
1 33.01 -50.50 -70.00
0 33.04 -120.40 -62.40
1 33.04 -50.00 -68.50
1 33.09 -119.50 -61.33
0 33.13 -117.00 -61.00
1 33.13 -51.00 -68.50
0 33.17 -121.50 -65.50
1 33.17 -51.50 -71.50
0 33.21 -118.17 -61.83
1 33.21 -49.50 -69.00
0 33.26 -122.50 -63.00
1 33.26 -49.72 -66.72
0 33.30 -56.00 -71.00
1 33.30 -123.40 -61.40
0 33.35 -121.50 -63.00
1 33.35 -51.50 -70.50
0 33.40 -120.95 -63.86
1 33.40 -51.50 -71.00
0 33.45 -126.00 -68.00
1 33.45 -55.50 -73.00
0 33.49 -51.50 -70.00
1 33.49 -121.50 -64.50
0 33.54 -121.00 -66.31
1 33.54 -56.00 -74.00
0 33.59 -124.50 -67.25
1 33.59 -54.50 -72.00
0 33.63 -122.50 -67.00
1 33.63 -52.50 -72.50
0 33.67 -121.10 -63.30
1 33.67 -49.50 -68.00
1 33.72 -122.26 -65.28
0 33.77 -49.50 -69.00
1 33.77 -117.00 -65.00
0 33.82 -52.50 -69.00
1 33.82 -121.18 -62.88
0 33.86 -122.50 -64.72
1 33.86 -55.00 -71.50
0 33.91 -120.55 -64.23
0 33.96 -123.50 -68.50
1 33.99 -122.50 -64.50
0 34.03 -122.50 -66.00
0 34.06 -121.50 -64.50
1 34.10 -127.50 -68.50
1 34.15 -123.50 -66.50
